household_email	power_number	energy_source	kilowatt_hours	battery
ccousey@scotfind.com	2	solar	44	
ccrupi@rundofase.com	1	solar	176	
ccrupi@sonron.com	1	solar	121	20
cdeleo@funholding.com	1	solar	87	
cdemesa@finhigh.com	1	solar	49	
cdickerson@labdrill.com	1	solar	44	11
cdiscipio@ontomedia.com	1	solar	150	43
cdorshorst@ontomedia.com	1	solar	59	
cfallick@kan-code.com	1	solar	39	
cfallick@nam-zim.com	1	solar	69	31
cfarrow@cancity.com	1	solar	35	
cfarrow@cancity.com	2	solar	19	
cfarrow@kan-code.com	1	wind-turbine	24	
cfeichtner@statholdings.com	1	solar	42	
cfelger@yearin.com	1	solar	69	
cfern@betatech.com	1	solar	22	25
cfillingim@xx-zobam.com	1	wind-turbine	45	
cfredicks@rangreen.com	1	solar	51	13
cfrerking@scotfind.com	1	solar	67	19
cfrey@ron-tech.com	1	solar	48	
cgalam@bioplex.com	1	solar	136	35
cgarufi@zathunicon.com	1	solar	68	
cgesick@statholdings.com	1	wind-turbine	23	39
cgillaspie@ontomedia.com	1	solar	45	21
cgillian@zoomit.com	1	wind-turbine	84	19
cgillian@zoomit.com	2	solar	34	
cgotter@green-plus.com	1	solar	72	72
cgrenet@doncon.com	1	solar	68	
chagele@codehow.com	1	solar	89	25
chagele@treequote.com	1	solar	51	14
chagele@treequote.com	2	solar	111	31
chalter@doncon.com	1	wind-turbine	59	35
charabedian@finjob.com	1	wind-turbine	101	62
chellickson@toughzap.com	1	solar	15	21
chirpara@doncon.com	1	solar	99	13
chochard@inity.com	1	solar	55	27
choffis@goodsilron.com	1	solar	40	39
chughey@silis.com	1	solar	26	56
chusser@sunnamplex.com	1	solar	83	39
cinouye@hatfan.com	1	solar	92	11
citurbide@scotfind.com	1	solar	15	
citurbide@scotfind.com	2	solar	62	14
cjeanty@betatech.com	1	solar	45	
cjulia@nam-zim.com	1	solar	177	
ckampa@plexzap.com	1	solar	21	19
ckarpel@dontechi.com	1	solar	47	38
ckarpel@singletechno.com	1	solar	62	
ckarpel@singletechno.com	2	solar	108	38
ckeetch@cancity.com	1	solar	58	32
ckeetch@konex.com	1	wind-turbine	47	26
ckeetch@rundofase.com	1	solar	66	18
ckiel@donware.com	1	solar	69	13
ckiel@ganjaflex.com	1	solar	72	41
cklimek@gogozoom.com	1	solar	106	98
ckohl@green-plus.com	1	solar	45	12
ckonopacki@scotfind.com	1	solar	89	65
ckorando@ontomedia.com	1	solar	41	50
clapage@iselectrics.com	1	solar	52	42
clatzke@scotfind.com	1	solar	67	18
clayous@inity.com	1	solar	84	11
clayous@xx-zobam.com	1	solar	110	59
cleinenbach@fasehatice.com	1	solar	159	31
cleinenbach@nam-zim.com	1	solar	171	42
cloder@bioholding.com	1	solar	45	14
clother@plexzap.com	1	solar	78	49
cluczki@silis.com	1	solar	40	40
clukasik@rantouch.com	1	solar	35	11
cmai@kan-code.com	1	solar	47	
cmanno@bioplex.com	1	solar	31	
cmanno@bioplex.com	2	solar	91	19
cmarrier@silis.com	1	wind-turbine	85	10
cmauson@donware.com	1	solar	32	58
cmauson@xx-holding.com	1	wind-turbine	51	29
cmaybury@toughzap.com	1	solar	110	
cmaynerich@blackzim.com	1	solar	34	70
cmaynerich@plussunin.com	1	solar	44	24
cmcdoniel@conecom.com	1	wind-turbine	161	
cmeinerding@lexiqvolax.com	1	solar	71	30
cmelnyk@zathunicon.com	1	solar	24	35
cmiceli@labdrill.com	1	solar	107	31
cmiro@green-plus.com	1	solar	99	31
cmiro@green-plus.com	2	solar	39	36
cmodzelewski@silis.com	1	wind-turbine	101	57
cmonarrez@donware.com	1	wind-turbine	98	21
cmorasca@konex.com	1	solar	44	
cmorocco@donware.com	1	solar	183	
cmugnolo@zumgoity.com	1	solar	84	
cnachor@sumace.com	1	solar	28	51
cneither@xx-zobam.com	1	solar	69	106
cneither@year-job.com	1	solar	74	12
cnestle@toughzap.com	1	solar	67	16
cnewville@gogozoom.com	1	solar	60	19
conofrio@domzoom.com	1	solar	60	
cpaa@stanredtax.com	1	solar	103	
cpaa@warephase.com	1	wind-turbine	117	14
cpalaia@opentech.com	1	solar	98	146
cpalaspas@ron-tech.com	1	solar	233	70
cpalaspas@xx-holding.com	1	solar	103	44
cpatak@isdom.com	1	wind-turbine	52	13
cpaulas@konex.com	1	solar	19	14
cpawlowicz@ganjaflex.com	1	solar	20	47
cpedrozo@plussunin.com	1	solar	39	95
cperez@blackzim.com	1	solar	70	29
cperez@opentech.com	1	solar	143	16
cperigo@blackzim.com	1	solar	72	28
cperigo@goodsilron.com	1	solar	199	69
cplumer@bioholding.com	1	solar	185	65
cpolidori@zumgoity.com	1	solar	61	34
cradde@finjob.com	1	solar	156	114
cragel@yearin.com	1	solar	68	16
crhym@year-job.com	1	solar	121	17
crim@green-plus.com	1	solar	68	19
criopelle@zoomit.com	1	solar	64	50
crodefer@silis.com	1	solar	114	35
crodeigues@nam-zim.com	1	solar	20	38
crodenberger@groovestreet.com	1	solar	37	19
crulapaugh@domzoom.com	1	solar	35	29
crulapaugh@domzoom.com	2	solar	15	
crulapaugh@domzoom.com	3	solar	49	41
crulapaugh@domzoom.com	4	solar	26	30
cruta@finjob.com	1	solar	114	
cruta@finjob.com	2	solar	43	
cryser@y-corporation.com	1	solar	66	44
csamara@conecom.com	1	solar	97	18
csamara@domzoom.com	1	wind-turbine	69	
csarao@plexzap.com	1	solar	60	20
csarao@scotfind.com	1	solar	36	16
csaulter@plexzap.com	1	solar	224	63
csayaphon@plexzap.com	1	solar	113	
cschemmer@silis.com	1	wind-turbine	126	
cschemmer@silis.com	2	solar	35	22
cschemmer@toughzap.com	1	solar	97	27
cscheyer@fasehatice.com	1	solar	54	62
cscheyer@groovestreet.com	1	solar	29	19
cschirpke@betasoloin.com	1	solar	94	
cscriven@isdom.com	1	wind-turbine	60	14
cseewald@rundofase.com	1	solar	68	
csemidey@iselectrics.com	1	solar	44	27
csergi@zathunicon.com	1	wind-turbine	17	
cshealy@zumgoity.com	1	solar	124	
cshinko@toughzap.com	1	solar	52	
cshire@plexzap.com	1	wind-turbine	20	101
cshire@yearin.com	1	solar	101	28
cskulski@conecom.com	1	wind-turbine	22	
cskursky@dalttechnology.com	1	solar	60	11
cslayton@zathunicon.com	1	solar	48	
csmith@inity.com	1	wind-turbine	133	
csmith@sonron.com	1	solar	66	
cspickerman@kan-code.com	1	solar	147	94
csteier@year-job.com	1	solar	20	15
cstockham@zotware.com	1	wind-turbine	103	76
cstoltzman@hatfan.com	1	solar	117	73
cstorment@codehow.com	1	solar	55	19
cstorment@zoomit.com	1	solar	196	55
csweigard@statholdings.com	1	solar	85	12
ctegarden@golddex.com	1	solar	132	
ctegarden@scottech.com	1	solar	100	43
cthyberg@bioholding.com	1	solar	28	14
cthyberg@scottech.com	1	solar	59	34
ctoelkes@goodsilron.com	1	solar	117	18
ctomasulo@conecom.com	1	solar	70	
ctomasulo@gogozoom.com	1	solar	187	
ctomasulo@hottechi.com	1	solar	21	40
ctomasulo@plexzap.com	1	solar	35	
cuyetake@groovestreet.com	1	solar	91	29
cvanausdal@opentech.com	1	solar	49	60
cvanheusen@domzoom.com	1	solar	128	45
cwaycott@rangreen.com	1	solar	25	13
cwieser@betasoloin.com	1	solar	61	
cwolfgramm@groovestreet.com	1	solar	132	22
cworlds@doncon.com	1	solar	94	
cwrinkles@stanredtax.com	1	solar	53	27
cyaw@streethex.com	1	solar	98	38
cyaw@streethex.com	2	solar	17	23
czagen@ron-tech.com	1	solar	166	
czepp@sonron.com	1	solar	77	43
dabdallah@plusstrip.com	1	solar	46	
dagramonte@mathtouch.com	1	solar	49	10
dahle@green-plus.com	1	solar	60	
dahle@green-plus.com	2	wind-turbine	44	
dahle@plusstrip.com	1	solar	72	
dahle@rangreen.com	1	solar	63	20
dankeny@isdom.com	1	solar	280	
dbatman@dalttechnology.com	1	solar	40	17
dbeech@funholding.com	1	solar	83	
dbennick@plussunin.com	1	solar	101	15
dberganza@blackzim.com	1	solar	68	75
dbergesen@xx-holding.com	1	solar	96	
dbirkner@lexiqvolax.com	1	solar	208	52
dbitsuie@hatfan.com	1	solar	82	23
dbolognia@dalttechnology.com	1	solar	15	
dbrachle@openlane.com	1	wind-turbine	50	
dbubash@ontomedia.com	1	solar	39	26
dburnard@statholdings.com	1	solar	76	
dbutt@iselectrics.com	1	wind-turbine	86	22
dbuzick@fasehatice.com	1	wind-turbine	77	27
dcalvaresi@toughzap.com	1	solar	32	
dclaucherty@streethex.com	1	solar	65	
dclaucherty@year-job.com	1	solar	169	98
dcomnick@dontechi.com	1	solar	39	17
dcookey@zumgoity.com	1	wind-turbine	68	
dcorrio@faxquote.com	1	solar	15	25
ddegonia@doncon.com	1	solar	80	
ddewar@ganjaflex.com	1	solar	151	
ddewar@y-corporation.com	1	solar	50	27
ddewar@y-corporation.com	2	solar	15	
ddhamer@iselectrics.com	1	solar	42	15
ddinos@domzoom.com	1	solar	18	19
ddinos@scottech.com	1	solar	84	
ddrymon@ron-tech.com	1	solar	108	20
dennaco@konex.com	1	solar	54	16
dfarrow@betatech.com	1	solar	93	25
dferrario@y-corporation.com	1	solar	18	12
dfigeroa@sunnamplex.com	1	solar	40	
dfishburne@xx-holding.com	1	solar	100	
dfishburne@xx-holding.com	2	solar	15	
dfortino@silis.com	1	solar	78	
dfrancescon@plusstrip.com	1	wind-turbine	21	23
dfrey@dalttechnology.com	1	solar	92	
dgellinger@hottechi.com	1	solar	28	
dgibes@nam-zim.com	1	wind-turbine	79	41
dgleich@konmatfix.com	1	wind-turbine	58	42
dgochal@rundofase.com	1	solar	112	37
dgoldammer@scottech.com	1	solar	84	23
dhagele@hatfan.com	1	solar	74	26
dharabedian@inity.com	1	solar	72	16
dharnos@bioholding.com	1	solar	202	157
dharnos@toughzap.com	1	solar	88	18
dhellickson@plusstrip.com	1	solar	16	
dhidvegi@toughzap.com	1	solar	107	39
dhoopengardner@domzoom.com	1	solar	17	17
dhoopengardner@statholdings.com	1	wind-turbine	27	12
diturbide@toughzap.com	1	wind-turbine	100	
djeanty@opentech.com	1	solar	103	18
djulia@cancity.com	1	wind-turbine	53	128
djurney@stanredtax.com	1	solar	21	21
dkalafatis@labdrill.com	1	wind-turbine	101	27
dkalafatis@labdrill.com	2	solar	28	36
dkarpin@conecom.com	1	solar	57	82
dkeneipp@lexiqvolax.com	1	solar	97	75
dketelsen@y-corporation.com	1	solar	114	20
dkiel@funholding.com	1	solar	46	18
dkippley@dontechi.com	1	solar	111	13
dkippley@iselectrics.com	1	solar	20	
dkippley@sonron.com	1	wind-turbine	87	
dkippley@sonron.com	2	solar	86	
dkippley@sonron.com	3	solar	64	45
dklusman@openlane.com	1	solar	108	
dklusman@openlane.com	2	solar	39	
dlace@hottechi.com	1	wind-turbine	68	
dlietz@zoomit.com	1	solar	90	60
dlindall@bioholding.com	1	solar	19	17
dlipke@sumace.com	1	solar	18	
dlipke@sumace.com	2	solar	33	
dliukko@bioholding.com	1	wind-turbine	52	20
dliukko@rundofase.com	1	solar	57	33
dlizama@lexiqvolax.com	1	solar	52	
dlukasik@statholdings.com	1	solar	161	127
dmadarang@ganjaflex.com	1	wind-turbine	23	10
dmaisto@toughzap.com	1	solar	128	73
dmarrier@newex.com	1	solar	21	14
dmarrier@newex.com	2	solar	84	
dmastella@donquadtech.com	1	wind-turbine	84	
dmastella@fasehatice.com	1	solar	163	27
dmastella@funholding.com	1	solar	83	29
dmastella@xx-holding.com	1	solar	108	39
dmccullan@y-corporation.com	1	solar	198	
dmenter@cancity.com	1	solar	79	18
dmontezuma@kan-code.com	1	solar	18	10
dmorasca@toughzap.com	1	solar	37	38
dmorocco@y-corporation.com	1	solar	51	16
dmugnolo@donquadtech.com	1	solar	50	34
dmunns@doncon.com	1	solar	16	13
dnabours@warephase.com	1	solar	35	27
dnachor@toughzap.com	1	solar	83	60
dneither@gogozoom.com	1	solar	54	16
dnicolozakes@dontechi.com	1	solar	74	27
doles@doncon.com	1	solar	19	20
doles@doncon.com	2	solar	23	35
donofrio@fasehatice.com	1	solar	27	46
dpadilla@inity.com	1	solar	90	32
dpadilla@inity.com	2	solar	137	
dpaprocki@rangreen.com	1	solar	22	
dpatak@gogozoom.com	1	wind-turbine	81	17
dpelkowski@singletechno.com	1	solar	264	65
dperigo@bioholding.com	1	wind-turbine	67	28
dperruzza@ron-tech.com	1	solar	50	23
dpinilla@singletechno.com	1	solar	84	14
dpoquette@goodsilron.com	1	solar	32	
dpugh@faxquote.com	1	wind-turbine	77	36
draymo@mathtouch.com	1	solar	161	
drochin@ron-tech.com	1	solar	40	74
drodeigues@scotfind.com	1	solar	16	28
drodeigues@scotfind.com	2	solar	28	28
drulapaugh@green-plus.com	1	wind-turbine	105	14
druta@scottech.com	1	solar	55	19
dryser@betasoloin.com	1	wind-turbine	42	22
dryser@betatech.com	1	wind-turbine	30	90
dryser@zathunicon.com	1	solar	108	10
dsamu@zencorporation.com	1	solar	139	
dsarao@silis.com	1	solar	91	25
dsarbacher@bioplex.com	1	solar	129	63
dschmierer@labdrill.com	1	solar	20	23
dschnitzler@treequote.com	1	solar	32	15
dsergi@ganjaflex.com	1	solar	66	
dshadrick@opentech.com	1	solar	197	
dshinko@zencorporation.com	1	solar	100	
dshinko@zencorporation.com	2	solar	88	27
dskulski@warephase.com	1	solar	142	
dspickerman@finhigh.com	1	wind-turbine	115	
dsteier@scottech.com	1	solar	72	50
dstimmel@toughzap.com	1	solar	227	52
dstockham@kan-code.com	1	solar	31	36
dstrassner@lexiqvolax.com	1	solar	28	30
dswayze@rantouch.com	1	solar	171	52
