email	household_type	footage	heating_temp	cooling_temp	postal_code	utilities
agesick@stanredtax.com	condominium	790	71	68	81521	electric
agibes@openlane.com	apartment	424	75	75	47747	
agibes@zathunicon.com	apartment	434	69	69	06035	gas
agillian@blackzim.com	apartment	1304	67	70	49762	liquid fuel
agillian@treequote.com	house	3370	64		97432	electric
agleich@golddex.com	apartment	1195	71		70384	gas
agobern@y-corporation.com	apartment	1436	71	73	24549	gas
agoldammer@ontomedia.com	apartment	516	75	73	48182	gas
agoldammer@zathunicon.com	apartment	702	71		46160	electric,liquid fuel
agotter@fasehatice.com	apartment	1463	71		07718	gas
agotter@golddex.com	townhome	490			10521	gas,liquid fuel
agrenet@sunnamplex.com	apartment	619	73		20591	
agwalthney@statholdings.com	house	845	76	69	45430	
ahalsey@conecom.com	house	912	71	74	51102	
ahalsey@faxquote.com	house	1134	66		55965	gas
ahalter@silis.com	apartment	415	67		43027	electric,gas
ahanafan@mathtouch.com	townhome	119	67		89084	electric
aharnos@condax.com	townhome	5028	73	74	16674	electric
aharoldson@sumace.com	townhome	609	69	74	24649	
aheintzman@groovestreet.com	house	1849	77	72	69157	steam
aherritt@dambase.com	house	1215	78		97048	electric
ahiatt@groovestreet.com	condominium	2859	76	74	48050	electric,steam
ahidvegi@goodsilron.com	condominium	750	73		73165	electric,gas
ahoffis@singletechno.com	townhome	767	76	73	10917	electric,gas
ahollack@sonron.com	condominium	967	74		61439	electric
ahoneywell@statholdings.com	townhome	594	69		29680	gas,steam
ahoopengardner@toughzap.com	apartment	601	73		92358	
ahudnall@rangreen.com	house	1477	72	73	28167	steam
ainouye@blackzim.com	house	779	76		86343	liquid fuel
ainouye@golddex.com	townhome	731	74		41083	electric,gas,steam
aisenhower@ontomedia.com	tiny house	48	69		96055	electric
aiturbide@dambase.com	house	1107	70	72	71045	electric
aiturbide@year-job.com	house	1058	75	70	47845	
ajacobos@streethex.com	townhome	2490		76	68964	gas
ajillson@condax.com	townhome	643	72		60476	
ajillson@goodsilron.com	house	605			01373	electric
ajulia@ontomedia.com	townhome	1551	76	72	48410	electric,gas
ajurney@ontomedia.com	apartment	1439	68	74	71768	electric
ajuvera@fasehatice.com	apartment	1065	71		73131	electric,liquid fuel
ajuvera@rantouch.com	apartment	481	67	74	03747	electric
akalafatis@conecom.com	house	3935	73	69	73003	
akannady@mathtouch.com	townhome	1524			95690	electric
akarpel@green-plus.com	apartment	957	65	76	93901	
akeener@conecom.com	apartment	1048	68	72	71106	gas,liquid fuel
akeetch@y-corporation.com	townhome	714	74		62907	electric
akeetch@zumgoity.com	apartment	1102	74	71	95972	gas
akeneipp@labdrill.com	house	133	69	71	46204	liquid fuel
akeneipp@streethex.com	house	759	73	73	00215	liquid fuel
akeneipp@year-job.com	apartment	489	68	72	35285	gas,steam
akiel@hatfan.com	apartment	774	76		75686	gas
akippley@goodsilron.com	house	981	73		06815	electric,steam
aklang@y-corporation.com	apartment	531	71	75	57747	electric
aklonowski@konmatfix.com	modular home	166		73	36103	electric,gas
aklonowski@rundofase.com	tiny house	57	77	71	18255	electric
aklusman@statholdings.com	apartment	890	72	75	67049	gas
aklusman@streethex.com	modular home	47	72	70	67031	electric,liquid fuel
akohl@gogozoom.com	house	1940	74		52054	electric,gas
akohl@zencorporation.com	house	1417	70		87008	electric,gas
akohnert@openlane.com	townhome	758	69		68862	steam
akolmetz@finjob.com	house	1174	73	74	99789	electric
akolmetz@kan-code.com	modular home	205		69	54119	steam
akonopacki@sumace.com	townhome	570	72		46785	gas,steam
akoppinger@hatfan.com	house	1211	75	69	49746	electric,gas
akulzer@faxquote.com	apartment	468	75	74	48223	electric
alabreche@lexiqvolax.com	apartment	777	73		19353	electric
alary@xx-zobam.com	townhome	541	76	70	58045	gas
alawler@konex.com	condominium	969	73	71	85299	liquid fuel
alawler@year-job.com	house	1574	70	70	19003	electric,gas
alayous@condax.com	condominium	952	76	71	78478	electric,gas
alayous@zencorporation.com	townhome	1095	71	72	50011	electric,gas
aleinenbach@ganjaflex.com	house	3099	71	73	61316	electric,gas
alietz@cancity.com	house	126	70	74	12847	
alimmel@cancity.com	apartment	554	72	73	28459	electric
alimmel@finjob.com	apartment	203	74		39148	electric,liquid fuel
alinahan@zoomit.com	apartment	505	76	73	48107	
alindall@dontechi.com	townhome	1160	73	68	31213	
alindall@finjob.com	apartment	936	73	73	42409	electric
alindall@xx-holding.com	townhome	3028	71		22922	electric
alipke@rundofase.com	apartment	1929	76	71	63736	electric,gas
aliukko@hottechi.com	tiny house	62	72	74	61874	gas
aloder@betatech.com	house	80	71	69	55318	electric,steam
aloder@hottechi.com	apartment	868	71	72	18056	electric
alorens@ganjaflex.com	condominium	1337	73		84532	
alother@zencorporation.com	apartment	797			15935	
alouissant@statholdings.com	house	1343	74	72	71956	gas
alueckenbach@faxquote.com	house	697	75		23459	
alueckenbach@iselectrics.com	apartment	471	71		23292	gas
alungren@funholding.com	house	2390	74	71	33194	electric,gas
amadarang@plexzap.com	townhome	610	73	72	50851	liquid fuel
amadarang@rantouch.com	modular home	20	72	73	32335	
amaile@y-corporation.com	apartment	37	72	69	14301	electric,gas
amaillard@doncon.com	house	3021	71	72	61727	electric
amalet@blackzim.com	house	1323	70	76	12589	gas,liquid fuel
amallett@zoomit.com	apartment	1496	77	72	01742	electric,gas
amalvin@treequote.com	apartment	1517	70	74	08731	electric
amanno@betasoloin.com	condominium	648	74	75	98129	electric
amatuszak@codehow.com	house	1289	71		23227	electric
amauson@fasehatice.com	house	2173	75		30473	electric,gas
amauson@opentech.com	condominium	1165		71	23227	liquid fuel
amaybury@mathtouch.com	condominium	1174	72	72	58405	electric,liquid fuel
amaynerich@ganjaflex.com	house	1450	78	71	70558	
amaynerich@zoomit.com	apartment	726	67		63840	gas
amcdoniel@kinnamplus.com	house	738		73	68226	electric
amcdoniel@plussunin.com	apartment	1314	69	73	19554	electric,gas
amcnease@goodsilron.com	apartment	497	76	76	68338	
amconnell@fasehatice.com	house	1655	69	72	99833	electric
ameinerding@donquadtech.com	townhome	660	74	73	46731	electric
ameinerding@nam-zim.com	house	120	74		29693	gas
ameisel@betasoloin.com	townhome	1015	70	75	36456	gas
ameisel@scotfind.com	house	151	71	71	95551	electric,steam
amenter@dalttechnology.com	townhome	119	78		22524	gas
amenter@dontechi.com	house	662	70		23275	
amenter@inity.com	townhome	1368	71		64109	electric,gas
amirafuentes@scotfind.com	condominium	1103	76	74	17743	gas
amiro@zoomit.com	apartment	591	74	73	52071	gas,liquid fuel
amodzelewski@iselectrics.com	house	1588			55409	liquid fuel
amondella@funholding.com	townhome	3093	66	69	25161	electric
amonterrubio@condax.com	house	1433	73	72	51029	electric
amonterrubio@dontechi.com	house	124	67	68	76210	electric
amonterrubio@golddex.com	apartment	786	68	71	73430	
amonterrubio@konex.com	apartment	326		75	71030	
amontezuma@blackzim.com	tiny house	20	67		79782	electric,gas
amontezuma@ron-tech.com	condominium	786	75	72	30678	steam
amorocco@sumace.com	house	1522		75	24521	gas
amotley@codehow.com	apartment	1109	69	72	92350	liquid fuel
amulqueen@domzoom.com	condominium	103	75	72	99571	electric,gas
amyricks@bioholding.com	apartment	514	75		21404	gas
anabours@scottech.com	apartment	793	64	71	53021	gas
anayar@isdom.com	apartment	792	72	69	70073	steam
aneither@funholding.com	condominium	236	75	72	21837	
aneither@gogozoom.com	house	3866	72		14110	electric,gas
anicolozakes@newex.com	house	1995	71	72	04734	liquid fuel
aohms@finhigh.com	house	687	75	69	47240	gas
aoles@dontechi.com	condominium	847	64		25234	electric,gas,liquid fuel
aoles@kan-code.com	townhome	558	74	69	50056	gas
aonofrio@cancity.com	house	2953	76	74	95720	electric,gas,liquid fuel
aostrosky@gogozoom.com	house	2597	67	69	95153	electric,gas
aostrosky@zencorporation.com	townhome	236	72	72	55447	electric
apadilla@rantouch.com	apartment	558			68307	
apaprocki@hottechi.com	house	678	73	74	10162	gas
aparvis@sumace.com	house	70	70	75	43731	electric,gas,steam
apaulas@bioplex.com	apartment	662	74	69	44843	
apaulas@mathtouch.com	apartment	1317	69	71	07930	electric
aperez@cancity.com	house	717	67	73	02902	gas,steam
aperez@plexzap.com	house	363	69		68376	liquid fuel
apinilla@y-corporation.com	house	1363		70	64456	
aplumer@green-plus.com	house	763	72	72	43004	electric
apontoriero@groovestreet.com	apartment	1016	77	76	06244	steam
apontoriero@newex.com	townhome	482	75	69	81506	electric
apoquette@bioholding.com	tiny house	232	71	74	53968	electric
apoquette@rundofase.com	apartment	852		73	24943	electric
araymo@rundofase.com	apartment	449	67	76	88268	electric
areiber@rantouch.com	modular home	204	69	70	74012	electric
arhoden@bioholding.com	house	3807	78		31729	electric
arhoden@faxquote.com	condominium	1025		74	67342	electric,steam
arhoden@konmatfix.com	modular home	403	73	72	11252	
arhym@statholdings.com	townhome	803	72	75	80649	electric,liquid fuel,steam
arhymes@donquadtech.com	house	1555	72	73	13743	electric,gas,liquid fuel,steam
arhymes@groovestreet.com	apartment	544	72		70360	gas
arhymes@scotfind.com	apartment	579	71		68065	electric,gas
arim@treequote.com	apartment	1464	74	70	05150	gas
arochin@stanredtax.com	house	1213	73	68	64423	electric,gas
arodefer@finhigh.com	condominium	422	70		18916	gas
arodeigues@konmatfix.com	house	920	78	73	98057	gas
arodeigues@statholdings.com	townhome	745	75	73	55116	
aroyster@domzoom.com	apartment	1943	68	76	27416	electric
aroyster@yearin.com	modular home	427	72	74	78720	electric,gas
asamara@streethex.com	townhome	906	74	71	15847	
asamu@xx-holding.com	house	265	76		71351	steam
asarbacher@xx-holding.com	house	1517	72	72	93283	gas
asawchuk@groovestreet.com	house	812	76		38473	
asayaphon@rundofase.com	apartment	930		70	78749	
asaylors@gogozoom.com	modular home	927		73	45361	electric,liquid fuel
aschmierer@dambase.com	condominium	1161		69	94120	electric,gas,liquid fuel,steam
ascipione@xx-holding.com	house	925	76	73	20784	gas,liquid fuel
ascriven@sunnamplex.com	townhome	1118		71	90013	gas,liquid fuel
aseewald@doncon.com	house	1873	71	73	53510	electric,gas
asergi@rangreen.com	townhome	221	73		95076	liquid fuel
ashields@konmatfix.com	townhome	641	69	75	48383	electric,liquid fuel
ashin@finjob.com	apartment	776		73	52255	electric,gas,liquid fuel
ashin@kinnamplus.com	apartment	1139	72	68	39305	
ashinko@konmatfix.com	townhome	1074	66	76	92612	electric
asimilton@groovestreet.com	townhome	2231		71	24008	electric,liquid fuel,steam
aspickerman@zathunicon.com	modular home	417	69		19560	electric,gas
aspringe@y-corporation.com	house	2450	75	75	20576	gas
astaback@betasoloin.com	modular home	411	67		57272	electric,liquid fuel
astaback@zotware.com	house	2554	74	71	71353	electric,gas
astem@isdom.com	house	2195	68	70	89815	
astem@zotware.com	house	2126	72	69	41075	electric
astoltzman@statholdings.com	house	700	70	74	59414	electric,gas,steam
astrassner@doncon.com	house	739			00609	
astuer@funholding.com	townhome	1672	76		31041	gas
astuer@scotfind.com	townhome	654	65	74	62722	
astuer@year-job.com	house	643	68		37325	electric,gas
asturiale@plusstrip.com	condominium	1286	73	75	21749	electric
asuell@fasehatice.com	house	1190	71	74	98581	electric
aswayze@rantouch.com	house	1207	72		32102	gas
asweely@hatfan.com	apartment	580	76		50274	gas,steam
atawil@faxquote.com	condominium	518		75	50237	electric,gas,steam
atheodorov@fasehatice.com	townhome	1441	74	75	15936	
athreets@statholdings.com	house	665	71	75	48048	electric
athyberg@rangreen.com	house	1953			13108	electric,gas
atillotson@plusstrip.com	apartment	1047	72		64037	electric,gas
atillotson@toughzap.com	modular home	45		74	68728	electric,gas,liquid fuel
atimenez@hatfan.com	apartment	452	72	72	43408	electric,steam
atimenez@warephase.com	condominium	1105	70		59750	electric
atimenez@y-corporation.com	house	1594	69	71	49346	electric,gas
atjepkema@ganjaflex.com	condominium	625			02902	gas
atjepkema@inity.com	apartment	49	72		03101	electric,gas
atomblin@treequote.com	apartment	506	73	73	50391	electric,gas
atoyama@j-texon.com	house	810	72	72	11236	electric
aturinetti@rundofase.com	townhome	1012	73		10004	electric,gas
aupthegrove@toughzap.com	house	1007	71	71	31796	
auyetake@betatech.com	townhome	1591	74	74	11793	gas
auyetake@ron-tech.com	apartment	510	73	74	60425	electric,liquid fuel
auyetake@zencorporation.com	apartment	1264	76	69	32721	electric
avanheusen@xx-zobam.com	modular home	1472		70	77964	electric,gas
avenere@fasehatice.com	house	1244	75		74423	gas
avenere@stanredtax.com	house	229	70	74	99015	
avenere@zathunicon.com	apartment	749	67	72	04350	liquid fuel
aventura@cancity.com	house	1436	74	73	35148	electric,liquid fuel
avinning@zotware.com	house	874	72		20232	electric
avocelka@goodsilron.com	townhome	1590	75	72	05602	electric
awalthall@codehow.com	house	728			49748	steam
awalthall@rantouch.com	apartment	1534	72		97913	electric,gas,liquid fuel
aweight@scottech.com	house	1700	68		58238	electric,gas
awenner@faxquote.com	apartment	1244		72	95899	electric
awhobrey@opentech.com	townhome	3760	76	74	25432	electric,gas
awiklund@xx-zobam.com	house	715	73		37023	gas
awildfong@y-corporation.com	house	2422			04788	liquid fuel
awildfong@zencorporation.com	house	934		75	46869	gas
awitten@bioholding.com	apartment	2549		74	70049	electric
awitten@groovestreet.com	house	1159	66	72	25446	electric
awitten@streethex.com	condominium	1700	72		62746	gas
awolfgramm@ganjaflex.com	house	99	71		41559	liquid fuel
awolny@zoomit.com	townhome	60	72		18956	electric,gas
aworlds@finjob.com	modular home	176	75		11359	electric
aworlds@scottech.com	apartment	100	73	72	21863	
ayaw@y-corporation.com	townhome	1160	71		97344	gas
ayglesias@green-plus.com	apartment	425		73	32059	gas
azagen@kinnamplus.com	modular home	175	72		94204	
azurcher@lexiqvolax.com	townhome	1562	70	72	77415	electric
babdallah@faxquote.com	house	1345	76	73	18068	electric,gas
bacuff@xx-zobam.com	house	3272	72	71	26361	electric,steam
bahle@stanredtax.com	condominium	1316	71	71	01526	gas
bauffrey@isdom.com	apartment	1427	71		79780	electric,liquid fuel
bbartolet@inity.com	modular home	546			85063	electric,gas
bbartolet@scotfind.com	apartment	891	69	71	43226	electric
bbergesen@nam-zim.com	apartment	188	73	71	34235	gas
bblackwood@singletechno.com	townhome	1315	75	71	45367	
bblunk@donware.com	house	2775	66	74	43066	liquid fuel
bborgman@ganjaflex.com	apartment	513	68		16701	electric,gas,steam
bborgman@golddex.com	condominium	1664		70	35640	electric,steam
bborgman@goodsilron.com	townhome	200	70	75	30047	gas
bbrachle@inity.com	apartment	425	69	75	63740	electric,liquid fuel
bbreland@konex.com	house	1780	73	75	71134	electric,gas,liquid fuel
bbrossart@y-corporation.com	apartment	552	70		60094	
bbrucato@betatech.com	apartment	1158			74942	gas
bbrucato@hatfan.com	house	1254	72		57252	electric,liquid fuel,steam
bbruschke@kinnamplus.com	house	621	73	72	50005	gas,liquid fuel
bburnard@funholding.com	townhome	2310	76	71	54241	electric,gas,liquid fuel
bbutzen@dambase.com	townhome	185	65	74	12543	gas,liquid fuel
bbutzen@donquadtech.com	apartment	418		69	16634	electric
bbutzen@finjob.com	condominium	750	69	72	78119	electric,gas
bbutzen@opentech.com	townhome	278	75		84756	electric,gas
bbutzen@rantouch.com	apartment	505	72		91350	
bbuvens@scottech.com	apartment	688	70		52534	electric
bcaiafa@green-plus.com	modular home	410		75	94011	electric,gas,steam
bcampain@fasehatice.com	apartment	1002		73	04073	liquid fuel
bcartan@rantouch.com	condominium	1188	70		43516	electric,liquid fuel
bcaudy@plussunin.com	condominium	1111	74	70	29472	electric
bcentini@stanredtax.com	apartment	192	76	75	30562	gas
bcorrington@sunnamplex.com	apartment	1163	73	70	39330	gas
bcoyier@nam-zim.com	condominium	180	66	71	50210	liquid fuel
bcrupi@bioplex.com	apartment	386	70	73	72734	electric
bdaufeldt@j-texon.com	apartment	1058	77		71913	electric
bdeleo@donware.com	apartment	35	70	71	81006	electric,gas
bdenooyer@goodsilron.com	apartment	998	75		95002	electric,gas
bdhamer@mathtouch.com	apartment	703	73	75	77483	electric
bdiestel@bioholding.com	house	1731	69	72	85014	
bdopico@plexzap.com	apartment	882	74	73	85218	electric
bdrymon@dalttechnology.com	townhome	1005	73	68	68351	gas
bdrymon@stanredtax.com	apartment	514	73	76	54929	electric
bdubaldi@green-plus.com	condominium	1336	76	69	54228	gas
beanes@codehow.com	townhome	978	71	72	05839	electric,gas
beanes@ron-tech.com	modular home	215	76		56722	electric,gas
beanes@xx-holding.com	house	2261	71		68046	
beroman@betatech.com	house	1073	72	73	31028	electric,gas
beroman@labdrill.com	apartment	438	70	70	03848	electric,gas
beschberger@xx-zobam.com	house	939	75	70	72084	
bfarrar@lexiqvolax.com	house	905	67	70	49812	gas,liquid fuel
bfelger@warephase.com	townhome	1202	72	75	95919	electric
bferrario@konmatfix.com	apartment	959	71	73	60002	electric
bferrario@openlane.com	modular home	148	76	72	57501	electric,gas,liquid fuel
bfigeroa@nam-zim.com	townhome	65	72	75	56591	electric
bflosi@rundofase.com	house	1472	73	75	43659	gas
bfrancescon@ron-tech.com	apartment	690	73		40873	gas
bfredicks@zathunicon.com	house	2515		72	72312	electric
bfunnell@sonron.com	modular home	216	71	69	92268	electric
bgato@doncon.com	apartment	1473	76	74	53281	gas
bgehrett@dalttechnology.com	house	1903			84606	electric
bgehrett@kan-code.com	apartment	1730	76	74	42262	gas,liquid fuel
bgellinger@streethex.com	apartment	824	69		28646	
bgiguere@silis.com	apartment	946	68	72	49628	electric,gas
bgillaspie@finhigh.com	apartment	576	75	75	50611	gas
bgillian@bioplex.com	apartment	1339	72	71	04347	electric,gas
bgillian@zencorporation.com	tiny house	61	74	74	49964	electric,liquid fuel
bgleich@rantouch.com	house	1372	67	73	04552	electric
bglick@donware.com	townhome	541			88541	electric,gas
bgotter@yearin.com	apartment	607	75		24088	liquid fuel
bgreenbush@xx-holding.com	townhome	1531	69		46151	electric,liquid fuel
bgrenet@betasoloin.com	house	4221		72	48529	electric,steam
bgudroe@ontomedia.com	house	1206	76	72	69145	
bgwalthney@domzoom.com	modular home	630	67	70	33261	electric,gas,liquid fuel
bgwalthney@hatfan.com	townhome	627	75	73	43314	
bheintzman@rundofase.com	house	2071	75		19720	liquid fuel
bhirpara@groovestreet.com	apartment	849		73	53718	
bhoneywell@finjob.com	townhome	565	71	72	27886	
bhoneywell@isdom.com	apartment	1034	69		29838	electric,gas
bhudnall@rundofase.com	modular home	118		71	42365	electric
bhudnall@singletechno.com	apartment	1038	66		71650	electric,gas
bhusser@donware.com	house	1513	72	75	72211	electric,gas,liquid fuel
bjeanty@sumace.com	house	150	74		40517	electric,gas
bjillson@openlane.com	apartment	624		74	40298	gas
bjuhas@konmatfix.com	townhome	1214	71	71	31743	electric,gas
bjuvera@mathtouch.com	house	717	74	74	45654	liquid fuel
bkalafatis@donquadtech.com	house	564	76	74	41364	steam
bkaniecki@gogozoom.com	apartment	1552	70	75	30738	
bkardas@dalttechnology.com	apartment	438	78		56271	electric,liquid fuel
bkardas@ron-tech.com	apartment	1423	70	73	65680	electric
bkardas@rundofase.com	condominium	697		70	80238	gas
bkarpin@domzoom.com	house	1754	75	73	65285	electric,gas
bkeener@konex.com	apartment	1292	68		02804	electric
bkeetch@iselectrics.com	apartment	2255		72	91050	liquid fuel
bkitzman@zumgoity.com	apartment	1132	71	71	16602	electric
bkoppinger@domzoom.com	apartment	398	75	69	36106	liquid fuel
bkorando@openlane.com	modular home	487	72	74	77086	gas
bkownacki@finhigh.com	apartment	649	75		79357	gas,liquid fuel
bkulzer@ron-tech.com	apartment	1546			79105	electric
bkusko@rundofase.com	apartment	956	73	74	44617	electric
blabreche@faxquote.com	apartment	100	68	72	48449	
blacovara@rangreen.com	house	946		75	61704	electric,gas,liquid fuel
blacovara@silis.com	condominium	939	68	74	45238	gas
blapage@blackzim.com	apartment	420	76	74	07405	electric,gas
blapage@fasehatice.com	townhome	212	76	72	71327	electric
blary@condax.com	apartment	1191	72	74	05403	gas
blatzke@conecom.com	house	2231	78	70	57202	electric
blawler@dambase.com	apartment	3347	66		99950	gas
blawler@rantouch.com	apartment	734	67	73	52224	electric
blindall@golddex.com	apartment	623	70	73	69121	electric,gas
blipke@codehow.com	house	663	74		20395	
bliukko@j-texon.com	townhome	2551	75		32699	electric
bloader@toughzap.com	house	2212	72	72	15559	electric
blukasik@zencorporation.com	house	904	70		84915	gas
blungren@scotfind.com	townhome	946	68	73	79731	gas
bmaisto@groovestreet.com	house	1711	75		29302	electric,gas
bmartabano@fasehatice.com	house	868	76		47236	gas
bmauson@mathtouch.com	modular home	322		71	11970	electric,gas
bmaynerich@cancity.com	apartment	153	70	75	13310	steam
bmcdoniel@hatfan.com	house	1499	71	74	72383	electric,steam
bmclaird@betatech.com	apartment	647	77	72	33084	electric,gas
bmcnease@scottech.com	townhome	521	69	74	10081	electric
bmiceli@scottech.com	modular home	373	70	68	39464	electric,gas
bmodzelewski@finhigh.com	house	1910	65	72	16003	electric
bmodzelewski@rundofase.com	townhome	1689	75		41778	electric,gas
bmontezuma@scotfind.com	apartment	960	71		41042	
bmorasca@funholding.com	townhome	516		72	76466	liquid fuel,steam
