household_email	appliance_number	manufacturer_name	model	appliance_type	energy_source	air_handler_types	rpm	eer	hspf	seer	tank_size	temperature	btu
abilden@streethex.com	1	Adwerpaquover Holdings	Uppebover	air_handler		heatpump	700		14.3	59.7			6068
abilden@streethex.com	2	Haprobedgazz		air_handler		air_conditioner	1550	3.6					6833
abilden@streethex.com	3	Lomcadar  Corp.		air_handler		heatpump	1840		23.3	52.8			4948
ablackwood@ontomedia.com	1	Uphupentor Direct	Zeedudamar	water_heater	gas						45.8	102	10538
ablackwood@ontomedia.com	2	Parpickin International	Winnipanover	air_handler		heatpump	780		24.4	59.9			8183
ablackwood@ontomedia.com	3	Upcadupower Direct	Thrupickaquan	air_handler		air_conditioner	1570	3.6					9125
abookamer@plussunin.com	1	Rerobex	Insipicower	water_heater	fuel oil						96.8	169	4824
abookamer@plussunin.com	2	Klidudackazz  Group	Zeeglibplistor	air_handler	electric	heater	2050						5806
abookamer@plussunin.com	3	Raprobower International	Cipnipegistor	air_handler		air_conditioner	2010	3.0					5372
abookamer@plussunin.com	4	Bartinanor	Qwinipegentor	air_handler	electric	heater,air_conditioner	2080	15.9					8452
aboord@plussunin.com	1	Updudentor	Rapglibackor	air_handler		heatpump	1290		16.7	51.7			10232
aboord@plussunin.com	2	Supsapedicator Holdings	Parjubor	air_handler		air_conditioner	400	3.8					9493
aboord@plussunin.com	3	Thruvenommazz  Group	Vardiminan	air_handler		heatpump	960		19.8	26.1			6836
aboord@plussunin.com	4	Varwerilicator	Insipegor	air_handler		heatpump	1410		21.4	43.9			8743
aboulter@goodsilron.com	1	Raphupinower	Varniponicator	air_handler		heatpump	770		26.0	44.1			12341
aboulter@xx-zobam.com	1	Emglibistor WorldWide Group	Thrusipanower	air_handler	electric	heater	810						5521
aboulter@xx-zobam.com	2	Raprobower International	Growerpover	air_handler		heatpump	790		20.3	36.5			5728
aboulter@xx-zobam.com	3	Dopcadefentor WorldWide		air_handler		air_conditioner	1360	1.1					5802
abreland@j-texon.com	1	Inweradazz International Company	Trucadamor	air_handler		air_conditioner	1820	3.6					13579
abreland@streethex.com	1	Thrukilopor International	Parpebupin	air_handler		heatpump	1360		16.0	27.6			9421
abreland@streethex.com	2	Empickopentor Holdings	Haptinower	air_handler	thermosolar	heater	1470						8113
abreland@streethex.com	3	Tiptumin  Company	Barwerpefistor	water_heater	electric						44.3	208	7831
abreland@streethex.com	4	Doptanin Direct Group	Rapdudedgantor	air_handler		air_conditioner	1340	2.1					8424
abreland@streethex.com	5	Varcadilax Direct	Tipquestover	water_heater	electric						61.1	119	7707
abreland@streethex.com	6	Qwiglibin Holdings	Winmunollax	water_heater	electric						13.8	186	7057
abreland@streethex.com	7	Ciptinefar  Inc		air_handler	electric	heater	1060						6275
abrucato@plussunin.com	1	Qwiglibover International		air_handler		air_conditioner	800	3.2					6903
abrucato@plussunin.com	2	Thrusipupistor Direct	Grofropegentor	air_handler		heatpump	560		25.3	47.4			5864
abrucato@plussunin.com	3	Admunaquax Holdings	Lomsapinazz	air_handler	electric	heater	1540						6924
abrucato@plussunin.com	4	Grofropistor Direct Company	Inzapaquantor	water_heater	electric						38.8		7790
abruschke@domzoom.com	1	Klitumopicator	Fromunopistor	air_handler	gas	heater	1140						12090
abruschke@domzoom.com	2	Rewerpedan WorldWide Group	Bardudegistor	air_handler		air_conditioner	400	16.5					8066
abruschke@domzoom.com	3	Partinedin	Adsapilar	air_handler	gas	heater	1520						8855
abruschke@domzoom.com	4	Rerobex	Tuptinedgistor	air_handler		air_conditioner	320	2.6					12539
abubash@cancity.com	1	Dopvenonazz WorldWide		air_handler	gas	heater	1330						7808
abubash@cancity.com	2	Varquestentor Direct	Cippebollover	water_heater	gas						27.4	147	5767
abubash@cancity.com	3	Hapsipaquentor Direct	Tippickefover	air_handler		heatpump	360		24.8	44.4			9800
abuemi@sumace.com	1	Varwerilicator	Embanplan	air_handler	thermosolar	heatpump,heater,air_conditioner	2060	2.3	12.3	36.6			4457
abuemi@zoomit.com	1	Raprobaquicator  Company	Inpickilover	air_handler		air_conditioner,heatpump	2080	2.2	23.2	36.0			6562
abuemi@zoomit.com	2	Emdimazz  Group	Zeedudamax	water_heater	gas						66.1	201	4494
abuemi@zoomit.com	3	Rapglibonazz	Emzapamazz	air_handler	gas	heater	1160						4064
aburnard@finjob.com	1	Unwerpegicator WorldWide	Tupdimower	air_handler	electric	air_conditioner,heater,heatpump	1180	3.7	20.7	60.9			8691
aburnard@finjob.com	2	Growerex Holdings	Grovenadistor	air_handler		heatpump	1370		23.7	37.3			5417
aburnard@finjob.com	3	Parbanewicator Holdings	Monjubicator	water_heater	gas						47.0	227	7377
aburnard@finjob.com	4	Qwijubackicator WorldWide Company	Zeemunedgor	air_handler	electric	heater	1910						6624
aburnard@finjob.com	5	Unmunexover Holdings		air_handler	gas	air_conditioner,heater	1980	2.4					12655
aburnard@finjob.com	6	Lomwerpower	Upkilollantor	air_handler	electric	heater	1740						5966
abutt@sonron.com	1	Endpickaquower International		air_handler	gas	heater,heatpump	1550		17.1	30.4			5056
abutt@sonron.com	2	Qwizapaquan  Inc		air_handler	electric	heater	1860						3704
abutt@sonron.com	3	Endpickimicator	Lomtanower	air_handler	gas	heater	1230						2963
abutt@year-job.com	1	Grojubax  Inc	Klicadover	air_handler		heatpump	1150		32.0	51.7			9620
abutt@year-job.com	2	Grovenicator		air_handler		air_conditioner	950	2.0					6407
abutt@year-job.com	3	Tipvenefar	Lomtinupor	air_handler	electric	heater	920						9567
abutt@year-job.com	4	Trucadollan  Inc	Monbanadower	air_handler	electric	heater,heatpump	450		23.7	43.2			13480
abutzen@donquadtech.com	1	Remunar International		air_handler	electric	heater	350						6477
abutzen@donquadtech.com	2	Happebegower	Barkilentor	water_heater	fuel oil						55.0	99	6621
abutzen@donquadtech.com	3	Varquestan International	Cipdimover	air_handler		heatpump	2080		27.7	25.3			5321
abuvens@lexiqvolax.com	1	Unmunador  Corp.	Insapicazz	air_handler		heatpump	1010		21.8	57.0			6331
abuvens@lexiqvolax.com	2	Hapzapedan Holdings Corp.	Parquesticator	air_handler		air_conditioner	1900	1.5					5987
abuvens@lexiqvolax.com	3	Rapglibonazz	Zeeericicator	air_handler		air_conditioner	640	1.4					5996
abuvens@lexiqvolax.com	4	Parpickin International	Winzapefor	air_handler		air_conditioner	1470	2.7					4785
abuzick@plexzap.com	1	Endbanepistor	Rerobopan	air_handler		heatpump	1290		18.2	47.0			5637
abuzick@plexzap.com	2	Barpickommantor Direct	Dopvenackex	air_handler		air_conditioner	1870	6.2					3738
abuzick@plexzap.com	3	Grosapantor Direct	Revenollan	air_handler		heatpump	1540		17.7	46.6			4633
abuzick@plexzap.com	4	Endgliban	Thrutinaquax	air_handler	gas	heater	1140						4392
abuzick@plexzap.com	5	Haphupistor Holdings	Thrusapicator	water_heater	heat pump						34.3	104	4713
abuzick@plexzap.com	6	Winrobupex WorldWide	Supsipantor	air_handler	electric	air_conditioner,heater	530	4.9					9264
abuzick@singletechno.com	1	Frojubimicator WorldWide	Cipkilantor	air_handler		air_conditioner,heatpump	590	4.0	25.1	35.9			10332
abuzick@singletechno.com	2	Adwerponantor  Inc	Winglibover	air_handler	thermosolar	heater	1460						7159
abuzick@singletechno.com	3	Tipvenefar	Adbanupax	air_handler		air_conditioner	700	2.1					9416
acaiafa@inity.com	1	Cipsapex	Tuppickicar	air_handler	electric	heater	390						9005
acaiafa@inity.com	2	Upweror WorldWide Corp.	Frotumamover	water_heater	gas						50.1	246	11537
acaiafa@inity.com	3	Lomdimin International Company	Lomsipin	air_handler		air_conditioner	1550	2.8					11901
acaiafa@inity.com	4	Unglibicator  Corp.	Endbanaquor	air_handler		air_conditioner	1780	14.7					8857
acalvaresi@openlane.com	1	Emtumax Direct Inc	Cipfropopar	air_handler	gas	heater,heatpump	1740		21.7	64.3			8457
acalvaresi@openlane.com	2	Froerin Holdings	Barkilplover	air_handler		air_conditioner	1330	1.1					5090
acalvaresi@openlane.com	3	Upquestistor Holdings	Froweredan	air_handler	electric	heater	1620						5366
acalvaresi@plusstrip.com	1	Surdimazz Holdings	Zeekilupazz	water_heater	fuel oil						88.5	105	3564
acalvaresi@plusstrip.com	2	Winbanin Holdings Inc	Winrobonan	air_handler	electric	heater	1690						5873
acalvaresi@plusstrip.com	3	Rejubover Holdings	Tipbanin	air_handler		air_conditioner,heatpump	1550	5.1	24.4	41.6			6235
acampain@newex.com	1	Lomjubedgistor  Inc	Insipopantor	water_heater	electric						20.0	110	4790
acampain@newex.com	2	Unnipplentor International	Emglibax	air_handler	thermosolar	air_conditioner,heater	1470	3.4					9722
acampain@newex.com	3	Hapdimamex WorldWide		air_handler		heatpump	990		25.8	37.2			4607
acampain@opentech.com	1	Klibanedgor Holdings	Emsipimax	air_handler		air_conditioner	1440	7.7					5567
acampain@opentech.com	2	Unquestor Direct Inc	Undudantor	air_handler	gas	heatpump,heater	1460		33.6	48.1			6729
acampain@opentech.com	3	Rapzapadistor Direct Group	Vartinedgazz	air_handler		heatpump	1930		23.0	35.3			4508
acandlish@bioplex.com	1	Uptanover Holdings Company		air_handler		heatpump	420		21.7	54.1			1772
acandlish@bioplex.com	2	Qwicadplentor Holdings	Winjubentor	water_heater	electric						16.4	116	1668
acandlish@bioplex.com	3	Qwidimilicator		air_handler		heatpump	860		26.3	49.2			1595
acentini@conecom.com	1	Uneran International	Vardimower	air_handler	electric	air_conditioner,heater,heatpump	1880	4.9	24.3	28.2			7618
acentini@conecom.com	2	Partinedin	Raptumeficator	air_handler		air_conditioner,heatpump	890	2.0	12.0	40.1			5836
acentini@conecom.com	3	Grotinackover WorldWide	Qwibanax	air_handler		air_conditioner	1420	1.8					6430
acentini@conecom.com	4	Tupdudower	Inglibor	air_handler	gas	heatpump,heater	1170		25.9	31.2			8286
achaffins@hottechi.com	1	Winjubentor Direct Group	Supfroponan	air_handler	electric	heater	820						6598
achaffins@hottechi.com	2	Klikilollex Holdings	Qwihupin	air_handler		heatpump	890		20.8	43.7			7411
achaffins@hottechi.com	3	Cipfropax	Sursapewistor	air_handler	electric	air_conditioner,heater,heatpump	1530	11.0	19.8	46.6			13373
achesterfield@bioplex.com	1	Intanimax International Company	Supfropentor	air_handler		heatpump	670		20.2	46.5			2303
achesterfield@bioplex.com	2	Unwerpimazz Direct	Truglibefentor	air_handler		air_conditioner	1370	2.2					2167
achesterfield@bioplex.com	3	Upkilin  Corp.	Lombanor	air_handler		air_conditioner,heatpump	1390	1.3	28.1	33.9			4227
achui@kan-code.com	1	Cipfropax	Winmunex	air_handler		air_conditioner	1670	2.0					8210
aclaucherty@kinnamplus.com	1	Hapmunentor Holdings	Montinanazz	air_handler		air_conditioner	340	1.6					3663
aclaucherty@kinnamplus.com	2	Qwicadedistor Direct Group	Froglibazz	air_handler		air_conditioner	1160	4.4					3819
aclaucherty@kinnamplus.com	3	Bartaneficator WorldWide	Surfropistor	air_handler		heatpump	1340		24.0	36.8			4315
acloney@hottechi.com	1	Inkilazz  Corp.	Klitumexin	air_handler		air_conditioner	1520	2.1					7842
acloney@hottechi.com	2	Barerepin  Company	Klieradazz	air_handler	electric	heater	370						9006
acloney@hottechi.com	3	Endzapimistor		air_handler	thermosolar	heater,heatpump	2080		14.2	45.7			13122
acookey@donquadtech.com	1	Resapan  Company	Adhupommar	air_handler	gas	heater	960						5295
acookey@donquadtech.com	2	Sursipedower  Inc	Barnipax	air_handler		heatpump	610		21.2	43.4			2889
acookey@donquadtech.com	3	Qwibanonin Direct	Repebor	air_handler	gas	heater	1690						5342
acookey@sumace.com	1	Barnipimax  Inc	Cipzapover	air_handler	electric	heater,heatpump	580		25.9	33.0			6963
acookey@sumace.com	2	Lomfropor	Surdimistor	water_heater	fuel oil						12.8	97	4044
acookey@sumace.com	3	Qwiquestentor  Company		water_heater	electric						31.3	113	3783
acookey@sumace.com	4	Surfropover		air_handler		air_conditioner	1550	1.7					3396
acookey@sumace.com	5	Parnipimax WorldWide	Klirobefover	water_heater	gas						15.7	114	4152
acookey@sumace.com	6	Tuppickplax Holdings	Emzapadistor	air_handler	electric	air_conditioner,heater,heatpump	920	5.2	19.9	59.0			8007
acorbley@dambase.com	1	Uphupentor Direct	Lompickicantor	air_handler	electric	air_conditioner,heater,heatpump	470	1.1	23.2	38.9			5611
acorbley@dambase.com	2	Endbanepistor	Supsipommax	air_handler		air_conditioner	1570	0.7					3037
acorbley@dambase.com	3	Intinicistor WorldWide	Unsapewentor	air_handler		air_conditioner,heatpump	740	1.4	19.6	41.4			4853
acorbley@j-texon.com	1	Ciptumeficator  Corp.	Vardimplantor	air_handler		heatpump	1450		19.6	39.1			8455
acorbley@j-texon.com	2	Monrobinistor	Groerower	air_handler		air_conditioner	330	3.2					8835
acorbley@j-texon.com	3	Rapdimplower	Endmunower	air_handler		air_conditioner	1500	18.4					8127
acorbley@xx-holding.com	1	Supcadantor  Group		water_heater	gas						72.6		6225
acorbley@xx-holding.com	2	Surquestackex	Upcadan	air_handler		heatpump	1920		15.1	27.9			6864
acorbley@xx-holding.com	3	Rapdimonazz Direct Inc	Inzapin	air_handler		air_conditioner,heatpump	1060	3.3	19.8	39.1			9115
acork@rantouch.com	1	Tiperimor International	Unrobopan	air_handler		air_conditioner,heatpump	950	2.6	29.6	30.9			9778
acork@rantouch.com	2	Barwerackazz WorldWide Group	Varnipinentor	air_handler		heatpump	1760		18.7	41.3			7232
acork@rantouch.com	3	Winbanower WorldWide Corp.	Supglibegover	water_heater	fuel oil						10.1	104	8945
acork@rantouch.com	4	Adpickover International	Unkilar	air_handler	electric	heater	2080						7365
acousey@statholdings.com	1	Qwijubackicator WorldWide Company	Thrunipaquicator	air_handler		air_conditioner	1510	4.4					4116
acousey@statholdings.com	2	Klitumplor Direct Inc	Frobanedor	air_handler		heatpump	1980		21.6	33.9			5434
acousey@statholdings.com	3	Suprobefax WorldWide Company	Cipmunistor	air_handler	electric	heater,heatpump	980		24.6	57.8			7652
acoyier@j-texon.com	1	Vartumackicator  Company	Tiptumonicator	air_handler		air_conditioner	1960	17.3					8866
acoyier@j-texon.com	2	Klieregower WorldWide		air_handler		air_conditioner	550	2.2					7498
acoyier@j-texon.com	3	Empickadin	Qwitanegan	air_handler	electric	heater	1480						9848
acoyier@j-texon.com	4	Parpickommax  Group	Qwisipicar	air_handler		air_conditioner	760	4.2					9426
acoyier@rantouch.com	1	Trusapicator	Winbanegan	air_handler	electric	heater,heatpump	850		19.3	52.1			4674
acoyier@rantouch.com	2	Qwiglibplicator WorldWide Corp.	Addimor	air_handler	gas	air_conditioner,heater	1390	4.8					6572
acoyier@rantouch.com	3	Unzapicicator Holdings	Monwerentor	air_handler	electric	heater,heatpump	1060		16.3	47.8			8100
acrupi@isdom.com	1	Supmunor  Group	Winzapexar	air_handler	gas	heater	1600						6634
acrupi@isdom.com	2	Tupvenax Direct	Winmunimex	air_handler	electric	air_conditioner,heater,heatpump	400	2.2	27.6	68.9			12094
acrupi@isdom.com	3	Intanazz Direct Company		water_heater	electric						46.0	167	6512
acrupi@isdom.com	4	Barpickepex International Inc		air_handler		air_conditioner	1350	1.6					5913
acrupi@lexiqvolax.com	1	Trutumefentor International	Endnipazz	air_handler		heatpump	900		24.3	32.6			8282
adallen@faxquote.com	1	Kliwerpor International Company	Tupjubupar	air_handler	gas	heater	2090						4514
adallen@faxquote.com	2	Groglibexan International	Reweregentor	water_heater	gas						27.7	111	4202
adallen@faxquote.com	3	Barquestan  Inc	Varquestaquover	air_handler	electric	heater	580						6216
adallen@sunnamplex.com	1	Unpickazz WorldWide		water_heater	electric						59.7	109	9199
adarakjy@donquadtech.com	1	Sursipackar WorldWide Company	Tipzapan	air_handler		air_conditioner	950	2.3					4414
adarakjy@donquadtech.com	2	Trupebeficator Direct Company	Inzapin	air_handler	gas	heatpump,heater	1580		19.9	40.4			6912
adarakjy@donquadtech.com	3	Qwipickan International Corp.	Endbanazz	air_handler	gas	heater	720						3534
adarakjy@donquadtech.com	4	Remunar International	Supvenor	air_handler		heatpump	1680		22.1	36.6			5308
adarakjy@nam-zim.com	1	Lombanazz International	Barpickimicator	water_heater	electric						50.9	131	13934
adarakjy@opentech.com	1	Tipfropaquin Holdings Company	Windimax	air_handler	gas	air_conditioner,heater	580	6.2					16477
adarakjy@opentech.com	2	Dopkilaquazz  Group		air_handler	gas	heater	1070						10035
adarakjy@opentech.com	3	Klitumaman  Group	Zeeglibower	water_heater	electric						10.2	226	9251
adaufeldt@golddex.com	1	Rapdimplower		air_handler		heatpump	1470		24.3	36.9			8351
adaufeldt@golddex.com	2	Winvenonar International	Klipickefor	air_handler	thermosolar	heater	1920						7513
adaufeldt@golddex.com	3	Varsipazz Direct	Winwerpedgar	air_handler		heatpump,air_conditioner	340	3.1	17.9	40.5			10048
adegroot@bioholding.com	1	Suptumax Holdings	Tupwerpaquower	air_handler	electric	heater	1500						5822
adegroot@bioholding.com	2	Frobanan Holdings Group	Varzapan	air_handler	electric	air_conditioner,heater	1680	2.6					6669
adegroot@bioholding.com	3	Inwerpanistor Holdings	Pardudar	water_heater	electric						81.4	117	6488
adegroot@bioholding.com	4	Intanimax International Company	Thrutanollantor	water_heater	fuel oil						19.3		6646
adeleo@mathtouch.com	1	Monfropor	Zeeglibedan	air_handler	gas	heater	1030						9120
adeleo@mathtouch.com	2	Frojubicator	Klijubamazz	air_handler		air_conditioner	560	7.2					7981
adeleo@mathtouch.com	3	Barsipegistor  Company	Winpebanantor	air_handler	gas	heater	2030						13575
adeleo@mathtouch.com	4	Surfropover	Endwericator	air_handler		air_conditioner	1170	4.8					12963
ademesa@bioholding.com	1	Endgliban	Endhupax	air_handler	electric	heater	370						2679
ademesa@donware.com	1	Varfropazz Direct Group	Fronipewax	air_handler		air_conditioner,heatpump	2040	0.5	21.4	34.7			2118
adenooyer@doncon.com	1	Unglibamex	Fropebollex	air_handler		air_conditioner,heatpump	420	3.9	21.6	47.3			9156
adenooyer@doncon.com	2	Thrupebonor	Unjubegar	air_handler		heatpump	1470		18.4	45.3			4780
adenooyer@doncon.com	3	Adcadackor Direct Company	Grozapinex	air_handler	gas	heater	360						4362
adenooyer@hatfan.com	1	Monnipistor	Lomquestupor	air_handler	gas	heater,heatpump	1690		25.1	55.4			7662
adenooyer@hatfan.com	2	Klifropedin International	Grotumupan	air_handler	gas	air_conditioner,heater	600	2.9					6455
adenooyer@hatfan.com	3	Requestor Holdings	Varwerpin	air_handler		air_conditioner	420	5.9					3765
adenooyer@hatfan.com	4	Qwidimilicator	Winbanentor	air_handler		air_conditioner	1150	1.0					4331
adenooyer@hatfan.com	5	Cipbanower Direct Company	Trupickazz	air_handler	electric	heater	950						5076
adenooyer@hatfan.com	6	Tiperex  Group		air_handler	gas	air_conditioner,heater,heatpump	900	3.3	22.7	42.1			9061
adinos@hatfan.com	1	Hapcadax Holdings Inc		air_handler		air_conditioner	1450	1.8					6969
adinos@hatfan.com	2	Inrobentor WorldWide	Grocadan	air_handler		heatpump	1840		21.8	47.6			6436
adinos@hatfan.com	3	Tupvenan International	Lomglibimistor	air_handler	thermosolar	heater,air_conditioner	640	2.3					10187
aduenas@toughzap.com	1	Unmunexover Holdings		air_handler		heatpump	320		20.0	41.9			8003
aduenas@toughzap.com	2	Dopsipentor Direct Corp.	Cipjubefin	air_handler	electric	heater	1070						6697
aduenas@toughzap.com	3	Monzapupin Direct Company		water_heater	gas						18.1	103	7874
